zip_code,year,population
00907,2010,17458
00909,2016,5563
00909,2015,5616
00909,2014,6071
00909,2013,5910
00909,2012,5394
00909,2011,5717
00909,2010,6230
00911,2016,7227
00911,2015,7444
00911,2014,7425
00911,2013,7595
00911,2012,7481
00911,2011,7772
00911,2010,8623
00912,2016,5758
00912,2015,5979
00912,2014,6414
00912,2013,6541
00912,2012,6353
00912,2011,6724
00912,2010,6801
00913,2016,8333
00913,2015,8122
00913,2014,8179
00913,2013,8255
00913,2012,8648
00913,2011,9617
00913,2010,9312
00915,2016,28173
00915,2015,29387
00915,2014,30642
00915,2013,31812
00915,2012,32368
00915,2011,33413
00915,2010,32820
00917,2016,19005
00917,2015,19086
00917,2014,19723
00917,2013,20557
00917,2012,21275
00917,2011,21779
00917,2010,21053
00918,2016,16400
00918,2015,16552
00918,2014,16553
00918,2013,16472
00918,2012,16890
00918,2011,17382
00918,2010,18056
00920,2016,17576
00920,2015,17995
00920,2014,18729
00920,2013,18540
00920,2012,19528
00920,2011,19016
00920,2010,17893
00921,2016,36104
00921,2015,37696
00921,2014,38499
00921,2013,38077
00921,2012,38800
00921,2011,39489
00921,2010,37763
00923,2016,25745
00923,2015,26591
00923,2014,27853
00923,2013,28618
00923,2012,30072
00923,2011,30755
00923,2010,29086
00924,2016,54062
00924,2015,54584
00924,2014,56236
00924,2013,58061
00924,2012,57860
00924,2011,57518
00924,2010,56691
00925,2016,6924
00925,2015,6899
00925,2014,7120
00925,2013,6877
00925,2012,6896
00925,2011,6567
00925,2010,8696
00926,2016,101337
00926,2015,104645
00926,2014,105093
00926,2013,107139
00926,2012,108427
00926,2011,111275
00926,2010,108862
00927,2016,14229
00927,2015,14447
00927,2014,14764
00927,2013,15340
00927,2012,15769
00927,2011,15449
00927,2010,14936
00934,2016,67
00934,2015,67
00934,2014,188
00934,2013,245
00934,2012,266
00934,2011,274
00934,2010,288
00936,2016,893
00936,2015,731
00936,2014,877
00936,2013,1151
00936,2012,1316
00936,2011,1431
00936,2010,681
00949,2016,77458
00949,2015,78552
00949,2014,80406
00949,2013,81758
00949,2012,82068
00949,2011,82644
00949,2010,82278
00950,2016,0
00950,2015,0
00950,2014,0
00950,2013,0
00950,2012,0
00950,2011,0
00950,2010,9
00951,2016,8
00951,2015,15
00951,2014,15
00951,2013,16
00951,2012,16
00951,2011,6
